fact_id	phase	area	invariant	source	evidence_ref	verification	related_tests	status
FS-001	v1	scope	v1 supports standard GIL-enabled CPython 3.12/3.13 FastAPI on macOS/Linux only	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§2.5	manual:design-scope	planned:tests/compat/	active
FS-002	v1	scope	v1 is for local development and test environments, not production debugging	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§1	manual:design-scope	manual:scope-review	active
FS-003	v1	runtime	Replay happens after the real request finishes and never pauses or slows the target process	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§2.4	planned:make-test-phase5	planned:tests/e2e/test_replay.py	active
FS-004	v1	runtime	Only backend HTTP request entry points are visualized in v1	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§2.4	manual:design-scope	manual:scope-review	active
FS-005	v1	granularity	Visualization drills down to function/class level and does not show line-by-line execution flow	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§2.4	manual:design-scope	manual:scope-review	active
FS-006	v1	data_lineage	v1 shows args/return summaries on spans but creates no ValueRef or ValueEdge tables	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§3.3	planned:make-test-phase3	planned:tests/schema/test_v1_tables.py	active
FS-007	v1	security	UI/API bind only to 127.0.0.1 and require startup-token plus Host/Origin controls	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§7.4	planned:make-test-phase0	planned:tests/sidecar/test_local_security.py	active
FS-008	phase0	process	One project-scoped Python sidecar uniquely owns UI/API/SQLite while the business process runs only the SDK	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§4.2	planned:trial-004	planned:tests/spikes/test_sidecar_otel_lifecycle.py	active
FS-009	phase0	storage	Sidecar SQLite uses WAL and writes through one bounded serialized queue	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§4.2	planned:trial-002	planned:tests/store/test_wal_writer.py	active
FS-010	phase0	storage	Only graceful shutdown within a bounded timeout promises flush of accepted events	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§4.2	planned:trial-004	planned:tests/spikes/test_sidecar_otel_lifecycle.py	active
FS-011	phase2	code_node	CodeNode stable_key does not include line numbers	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§5.1	planned:make-test-phase2	planned:tests/code_map/test_identity.py	active
FS-012	phase2	code_node	Runtime spans record source hash; Phase 2 emits drift signals and old traces show source-changed without mutating tracepoints	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§5.1	planned:make-test-phase2	planned:tests/code_map/test_drift.py	active
FS-013	phase3	instrumentation	Stable function tracing is OTel route mapping plus explicit @flowsight.trace functions	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§6.3	planned:make-test-phase3	planned:tests/instrumentation/test_trace_decorator.py	active
FS-014	phase3	instrumentation	v1 does not implement or accept include_packages auto-wrapping; business functions require explicit @flowsight.trace	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§6.3	manual:scope-review	manual:phase3-review	active
FS-015	phase4	tracepoint	Tracepoints only support executable statement lines	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§5.5	planned:make-test-phase4	planned:tests/tracepoint/test_line_semantics.py	active
FS-016	phase4	tracepoint	Tracepoint capture semantics are before the target line executes	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§5.5	planned:trial-005	planned:tests/spikes/test_tracepoint_backend.py	active
FS-017	phase4	tracepoint	Tracepoints capture specified variable names only and never arbitrary expressions	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§5.5	planned:make-test-phase4	planned:tests/tracepoint/test_named_vars.py	active
FS-018	v1	safety	Every persisted runtime value is a safe summary rather than a raw Python object or raw sensitive text	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§6.4	planned:trial-003	planned:tests/security/test_safe_summary.py	active
FS-019	v1	safety	Redaction and depth/size/element/total limits run before SDK enqueue or process crossing	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§7.1	planned:trial-003	planned:tests/security/test_safe_summary.py	active
FS-020	phase4	tracepoint	Interpreter-wide global tracing is forbidden	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§6.5	planned:trial-005	planned:tests/spikes/test_tracepoint_backend.py	active
FS-021	v1	security	Secret-like names including password/token/secret/auth/cookie/session/API-key shapes are redacted	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§7.1	planned:trial-003	planned:tests/security/test_safe_summary.py	active
FS-022	phase5	replay	Timeline playback controls affect only UI replay and never the running application	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§2.4	planned:make-test-phase5	planned:tests/e2e/test_replay.py	active
FS-023	v1	tasks	Non-goal support requires an explicit scope override and user approval before implementation	AGENTS.md	AGENTS.md:Phase-Discipline	manual:task-review	manual:quality-governor	active
FS-024	v1	process	v1 supports one active business producer; multi-worker registration is explicitly rejected	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§4.2	planned:trial-004	planned:tests/spikes/test_sidecar_otel_lifecycle.py	active
FS-025	phase1	otel	OTel FastAPI server spans supply trace/span identity; FlowSight creates no duplicate root and does not replace user providers/exporters	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§6.2	planned:trial-004	planned:tests/spikes/test_sidecar_otel_lifecycle.py	active
FS-026	phase1	integrity	Trace collection exposes collecting/complete/incomplete and never presents dropped data as complete	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§5.11	planned:make-test-phase1	planned:tests/ingest/test_trace_completion.py	active
FS-027	v1	scope	Log collection and query are v1.1 experimental rather than v1 acceptance	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§5.9	manual:scope-review	manual:phase-review	active
FS-028	phase2	code_map	Stable v1 static edges are contains/imports/route mapping; function calls come from runtime spans	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§5.2	planned:make-test-phase2	planned:tests/code_map/test_edges.py	active
FS-029	v1	safety	Safe summaries never invoke unknown repr/properties/iterators/custom serializers	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§6.4	planned:trial-003	planned:tests/security/test_safe_summary.py	active
FS-030	v1	onboarding	init_app alone guarantees HTTP/infrastructure spans while business function paths require explicit @flowsight.trace	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§2.2	planned:make-demo-fastapi	planned:tests/e2e/test_onboarding.py	active
FS-031	phase0	packaging	The bundled UI runs from the Python wheel without Node.js on the end-user machine	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§4.2	planned:make-test-phase0	planned:tests/packaging/test_wheel_ui.py	active
FS-032	phase0	backpressure	SDK/sidecar queues are bounded and drops/storage errors are visible and mark traces incomplete	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§7.3	planned:make-test-phase0	planned:tests/store/test_backpressure.py	active
FS-033	phase4	tracepoint	No tracepoint backend/function shape is stable until TRIAL-005 records a go decision	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§6.5	planned:trial-005	planned:tests/spikes/test_tracepoint_backend.py	experimental
FS-034	phase4	code_node	Phase 4 consumes CodeNode drift signals and marks existing tracepoint bindings stale until explicit reconfirmation	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§5.1	planned:make-test-phase4	planned:tests/tracepoint/test_stale_reconfirm.py	active
FS-035	phase3	privacy	Explicit @flowsight.trace exports identity/timing/status code only; OTel exception capture/status description are disabled and args/return/safe exception detail stay private	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§6.3	planned:trial-004	planned:tests/spikes/test_sidecar_otel_lifecycle.py	active
FS-036	phase1	identity	FlowSight request_trace_id identifies one local server request; spans remain unique by otel_trace_id plus span_id so one upstream trace cannot merge multiple local requests	docs/flowsight-mvp-design.md	docs/flowsight-mvp-design.md:§5.3	planned:make-test-phase1	planned:tests/ingest/test_request_identity.py	active
